State,16/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021
Andaman and Nicobar Islands,225,442,644,644,1032,1466,1998,2019,2369,2369,2385,2656,2727,2727,2727
Andhra Pradesh,18412,46680,58495,91778,115365,133298,147030,147030,156120,156129,163727,171683,179038,187252,187252
Arunachal Pradesh,829,2805,2805,3023,4682,5956,6511,6511,7307,7307,7307,8656,9265,9651,9651
Assam,3528,5542,7418,7585,10676,13881,13881,13881,19837,19837,19945,28918,36932,38106,38106
Bihar,18169,33389,42085,47433,63541,63620,76125,76125,88450,88450,89074,107174,110396,146015,148293
Chandigarh,265,265,469,469,753,1157,1502,1502,1928,1928,2355,2764,2977,3447,3447
Chhattisgarh,5592,10872,10872,16255,22171,22259,28732,28732,40025,40025,51647,62115,62529,72704,72704
Dadra and Nagar Haveli and Daman and Diu,123,123,208,219,278,356,628,628,665,665,665,779,940,1083,1083
Delhi,4319,7968,12441,12902,18844,18844,25811,25811,33219,33219,39764,48008,48008,56818,56818
Goa,426,426,426,426,426,946,1561,1561,1796,1796,2311,2882,3391,4117,4117
Gujarat,10787,10787,17581,21832,34865,46150,78466,78466,91927,91927,94524,162616,221675,246054,247891
Haryana,5589,17642,24944,30402,45893,62142,71297,72204,105419,105419,109782,115968,123935,125898,125977
Himachal Pradesh,1517,4817,5049,5094,5790,9609,13544,13544,13544,13544,14054,18848,22918,27734,27734
Jammu and Kashmir,2044,3375,4395,4414,6847,9827,11647,11647,16173,16173,16331,22401,26634,26634,26634
Jharkhand,3096,6059,8824,11641,11641,14806,14806,14806,18413,18413,24020,24315,33119,40726,40860
Karnataka,13594,66392,80686,121466,138807,184699,188971,191449,231172,231607,267811,286089,307891,315370,315370
Kerala,8062,15477,23855,24269,35173,47293,53529,53529,71973,71973,82970,106583,135835,158687,165171
Ladakh,79,119,119,240,240,401,558,558,670,670,818,818,989,1128,1128
Lakshadweep,21,201,369,369,369,552,633,633,676,676,746,746,746,807,807
Madhya Pradesh,9219,18174,18174,27770,38278,38278,38278,38278,67083,67083,131679,195187,246181,298376,298376
Maharashtra,18328,18582,30247,52055,52393,74960,99885,99885,136901,136901,179509,220587,261320,269064,269064
Manipur,585,978,111,1454,1454,1923,2319,2319,2485,2485,2855,2855,3399,3987,3987
Meghalaya,509,530,1037,1365,1785,2078,2236,2236,2748,2748,3249,3870,4200,4324,4324
Mizoram,314,554,1091,1508,2537,3657,3979,3979,4852,4852,6142,6728,8497,9346,9346
Nagaland,561,1436,2286,2988,3187,3443,3443,3443,3675,3675,3973,3973,3973,3993,3993
Odisha,13746,46506,55138,68743,113623,130007,152371,152371,177090,177090,178227,194058,205200,206424,206424
Puducherry,274,554,719,759,759,1097,1478,1478,1813,1813,1813,1813,2299,2736,2736
Punjab,1319,3318,5567,7607,12532,21340,30319,31327,39418,39418,44708,50977,54988,57499,57499
Rajasthan,9279,23546,30761,32379,32379,43947,67270,93525,161116,161332,237137,257833,324973,329611,330797
Sikkim,120,120,350,573,773,960,960,960,1047,1047,1320,1776,2020,2020,2020
Tamil Nadu,2945,16462,25251,33670,42947,51651,59226,61720,69027,73953,82039,88467,97126,105821,105821
Telangana,3653,17408,69405,69405,97087,110031,110031,110031,130390,130425,130425,151246,166606,168606,168606
Tripura,355,1736,3734,3734,9272,14252,14252,14252,19698,19698,19698,24302,27617,29796,29796
Uttar Pradesh,21291,22644,22644,22644,22644,123761,123761,123761,123761,123761,123761,294959,463793,463793,463793
Uttarakhand,2276,4237,6107,6119,8206,10514,10514,10514,14546,14546,14690,19517,25818,28791,31228
West Bengal,9730,29866,42093,46310,53988,84505,84505,84505,122851,122851,158193,187485,221994,243069,243143
Miscellaneous,0,14017,14017,26940,32297,36926,40144,40284,43625,43675,46325,48401,50078,52120,52120
Total,191181,454049,630417,806484,1043534,1390592,1582201,1615504,2023809,2029480,2355979,2928053,3500027,3744334,3758843
